Url,Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of facades,Swimming pool,Building condition,Construction year,Street frontage width,Number of frontages,Surroundings type,Living room,Dressing room,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water & electricity",Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Photovoltaic solar panels,Thermic solar panels,Common water heater,Double glazing,Planning permission obtained,Type of building,Obligation to build,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Tenement building,Address,External reference
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11136208,11136208,knokke-heist,8300,554000,appartment,apartment,for-sale,2,93,1,0,0,,,,,0,,1997,,2,,,,0,,,,,,,182,B,,,Electric,0,0,0,1,,,,0,0,0,Non flood zone,,0,Zeelaan 276,a0iTt000000CF4vIAG
https://www.immoweb.be/en/classified/apartment/for-sale/merksem/2170/11136217,11136217,merksem,2170,249000,appartment,apartment,for-sale,2,90,1,0,0,16,,,,0,Good,1963,,3,,,,,,,,,,,327,D,,,Gas,,,,1,1,,,1,,0,,"Living area (residential, urban or rural)",0,Markt 33,9110 - 18554
https://www.immoweb.be/en/classified/apartment/for-sale/merchtem/1785/11136214,11136214,merchtem,1785,419000,appartment,apartment,for-sale,3,119,1,0,0,8,,,,0,Good,2020,,4,,,,,,,,,,,44,A,,,Gas,,,,1,1,,,0,1,0,,"Living area (residential, urban or rural)",0,Meyskensstraat 222,1785419 - 2023/423/S
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/11136211,11136211,woluwe-saint-pierre,1150,430000,house,house,for-sale,3,119,1,0,0,,,172,,0,To renovate,1956,,2,"Living area (residential, urban or rural)",,,,,,,,,1,407,G,81 kg CO₂/m²,,Gas,,,,,,,,,,,Non flood zone,,0,Parvis Sainte-Alix 37,5843559
https://www.immoweb.be/en/classified/mansion/for-sale/buggenhout/9255/11136215,11136215,buggenhout,9255,545000,house,mansion,for-sale,3,190,1,0,0,20,,720,,0,To be done up,1900,11 m,3,"Living area (residential, urban or rural)",,,,,,,,,1,600,F,,,Fuel oil,,,,1,1,,,0,1,0,Non flood zone,"Living area (residential, urban or rural)",0,Meyskensstraat 222,1785332 - 2024/020/T
https://www.immoweb.be/en/classified/ground-floor/for-sale/merksem/2170/11136218,11136218,merksem,2170,249000,appartment,ground-floor,for-sale,2,90,1,0,0,16,,,,0,Good,1963,,3,,,,,,,,,,,327,D,,,Gas,,,,1,1,,,1,,0,,"Living area (residential, urban or rural)",0,Markt 33,9111 - 18554
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/11136227,11136227,hoboken,2660,175000,appartment,apartment,for-sale,2,75,1,0,0,,,,,0,Good,1976,24 m,,,,,,,,,,,,127,B,,,Gas,,,,1,1,,,0,0,0,Non flood zone,"Living area (residential, urban or rural)",0,Sint-Jansvliet 5,135068 - Ant-23-FBA-
https://www.immoweb.be/en/classified/apartment/for-sale/wommelgem/2160/11136225,11136225,wommelgem,2160,305000,appartment,apartment,for-sale,3,112,1,0,0,,,,,0,,2005,,2,,,,,,,,,,,108,B,,,Gas,,,,1,1,,,0,0,,Non flood zone,"Living area (residential, urban or rural)",0,Bischoppenhoflaan 284,135243 - DEU-23-SIP-
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/11136223,11136223,deurne,2100,229000,appartment,apartment,for-sale,2,110,1,0,0,3,,,,0,Good,,14 m,2,,,,,,,,,,,79,A,,,Gas,,,,1,1,,,0,0,0,Non flood zone,"Living area (residential, urban or rural)",0,Bischoppenhoflaan 284,135082 - DEU-23-JWI-
https://www.immoweb.be/en/classified/duplex/for-sale/ville%20de%20bruxelles/1000/11136224,11136224,ville%20de%20bruxelles,1000,1590000,appartment,duplex,for-sale,4,331,1,0,1,1,,,,0,As new,1930,,2,"Living area (residential, urban or rural)",1,1,0,,,,,,,202,D,40 kg CO₂/m²,,Gas,0,0,0,1,,All kind,,,,,Non flood zone,,0,Avenue Louise 367,dinant*
